,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mount isa,-20.7333,139.5,297.15,94,90,3.09,AU,1612647790
84,sao filipe,14.8961,-24.4956,294.09,76,47,7,CV,1612648036
85,new norfolk,-42.7826,147.0587,289.82,69,65,0.89,AU,1612648008
86,praia da vitoria,38.7333,-27.0667,289.15,82,40,5.72,PT,1612647785
87,boyolangu,-8.1181,111.8935,296.96,88,97,2.96,ID,1612648375
88,pingliang,35.5392,106.6861,274.62,64,100,1.53,CN,1612648192
89,port said,31.2565,32.2841,289.15,82,0,3.6,EG,1612648375
90,westport,41.1415,-73.3579,279.15,49,1,6.69,US,1612648083
91,soligalich,59.0778,42.2864,252.36,89,100,4.51,RU,1612648375
92,holme,56.1138,10.1725,270.15,74,75,6.17,DK,1612648375
93,portel,-1.9356,-50.8211,300.43,77,59,2.31,BR,1612648376
94,luganville,-15.5333,167.1667,301.63,68,3,2.09,VU,1612648376
95,bredasdorp,-34.5322,20.0403,293.15,77,75,2.06,ZA,1612647988
96,ketchikan,55.3422,-131.6461,277.15,93,90,4.12,US,1612648018
97,pimentel,-6.8367,-79.9342,298.15,61,90,7.2,PE,1612648376
98,los chiles,11.0333,-84.7167,304.37,55,87,1.55,CR,1612648376
99,datong,40.0936,113.2914,266.75,85,0,2.01,CN,1612648376
100,atuona,-9.8,-139.0333,300.01,77,100,9.1,PF,1612647987
101,luwuk,-0.9516,122.7875,298.8,71,100,1.02,ID,1612648245
102,oistins,13.0667,-59.5333,301.15,57,20,8.75,BB,1612648377
103,ocampo,21.65,-101.5,295.77,20,0,7.04,MX,1612648377
104,mar del plata,-38.0023,-57.5575,292.15,72,20,5.14,AR,1612647997
105,tommot,58.9564,126.2925,242.59,81,99,0.45,RU,1612648377
106,kununurra,-15.7667,128.7333,299.15,100,100,1.96,AU,1612647859
107,castro,-24.7911,-50.0119,291.57,61,0,1.44,BR,1612648016
108,wahran,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109,changde,29.0464,111.6783,284.86,85,96,1.54,CN,1612648091
110,rancho palos verdes,33.7445,-118.387,292.59,63,1,4.12,US,1612648377
111,busselton,-33.65,115.3333,287.59,97,100,1.34,AU,1612647998
112,mwene-ditu,-7,23.45,292.08,93,100,1.18,CD,1612648378
113,spearfish,44.4908,-103.8594,260.93,78,20,3.6,US,1612648329
114,alice springs,-23.7,133.8833,297.04,35,48,3.09,AU,1612648259
