,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
366,tanete,-3.9443,119.7848,297.17,92,100,1.08,ID,1612648408
367,samarai,-10.6167,150.6667,301.66,75,94,2.59,PG,1612648062
368,ubinskoye,55.3068,79.6802,271.42,97,92,7.37,RU,1612648408
369,baker city,44.7749,-117.8344,283.15,37,75,1.54,US,1612648045
370,emerald,-23.5333,148.1667,302.04,69,93,3.6,AU,1612647906
371,moerai,-22.4333,-151.3333,300.51,72,2,4.83,PF,1612648368
372,dingle,10.9995,122.6711,296.81,91,62,3.42,PH,1612647987
373,vestmannaeyjar,63.4427,-20.2734,276.93,74,43,13.26,IS,1612648056
374,poum,-20.2333,164.0167,299.75,68,0,1.66,NC,1612648027
375,hays,30.0502,-98.0336,296.48,18,0,4.47,US,1612648409
376,naica,27.85,-105.4833,293.1,22,0,5.48,MX,1612648409
377,nakhon si thammarat,8.25,100,295.66,91,40,0.27,TH,1612648409
378,waipawa,-41.4122,175.5153,292.59,63,96,2.06,NZ,1612648134
379,meulaboh,4.1363,96.1285,297.33,92,80,2.5,ID,1612647929
380,vallenar,-28.5708,-70.7581,299.73,36,7,3.77,CL,1612648410
381,aljezur,37.3191,-8.8033,284.26,22,99,2.24,PT,1612648410
382,cubara,7.0008,-72.1085,298.63,76,99,0.35,CO,1612648410
383,lanuza,9.2342,126.0644,298.04,88,100,0.98,PH,1612648410
384,gat,31.61,34.7642,287.59,100,1,0.97,IL,1612647783
385,kautokeino,69.0125,23.0412,263.41,92,99,3.49,NO,1612648410
386,hamilton,39.1834,-84.5333,276.15,30,1,2.06,US,1612648187
387,hope,33.6671,-93.5916,280.93,74,100,0.45,US,1612648028
388,half moon bay,37.4636,-122.4286,293.71,72,1,3.09,US,1612648010
389,vostok,46.4856,135.8833,247.73,90,100,1.14,RU,1612648141
390,port lincoln,-34.7333,135.8667,289.46,70,85,5.21,AU,1612648023
391,den helder,52.9599,4.7593,273.71,69,90,13.89,NL,1612648411
392,salinas,36.6777,-121.6555,293.71,45,1,1.8,US,1612648411
393,clifton,40.8584,-74.1638,280.15,36,1,6.17,US,1612648392
394,maceio,-9.6658,-35.7353,300.15,78,0,5.14,BR,1612648001
395,trimbak,19.9333,73.55,288.71,34,9,3.75,IN,1612648412
396,mattru,7.6244,-11.8332,298.62,72,81,1.31,SL,1612648412
397,khashuri,41.9941,43.5999,276.76,72,43,0.86,GE,1612648412
398,andselv,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
399,sharlyk,52.9167,54.75,256.38,91,100,7.22,RU,1612648412
400,jatai,-17.8814,-51.7144,295.82,87,35,2.46,BR,1612648298
401,guekedou,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402,puerto gaitan,4.3133,-72.0816,306.36,42,82,5.69,CO,1612648412
403,esperance,-33.8667,121.9,288.15,94,90,4.63,AU,1612647988
404,narasannapeta,18.4167,84.05,292.03,74,13,2.21,IN,1612648009
405,bom jesus,-9.0744,-44.3586,296.02,94,100,0.67,BR,1612648413
406,wattegama,6.7989,81.4808,295.24,95,81,2.53,LK,1612647990
407,kieta,-6.2167,155.6333,301.73,71,46,3.51,PG,1612648317
408,severnoye,56.3491,78.3619,272.74,98,100,7.08,RU,1612648413
409,kiruna,67.8557,20.2251,266.15,79,90,1.54,SE,1612648413
410,manadhoo,5.7667,73.3833,300.57,74,5,3.61,MV,1612648414
411,taksimo,56.3444,114.8794,247.56,77,85,0.43,RU,1612648012
412,campeche,19,-90.5,309.18,22,0,0.97,MX,1612648414
413,hami,42.8,93.45,272.65,80,20,2.7,CN,1612648414
414,camacha,33.0833,-16.3333,288.15,63,40,7.72,PT,1612648414
415,zhangye,38.9342,100.4517,269.57,70,0,0.87,CN,1612648414
416,sorong,-0.8833,131.25,299.91,80,100,1.01,ID,1612648012
417,hobyo,5.3505,48.5268,298.13,79,0,6.78,SO,1612648006
418,darhan,49.4867,105.9228,253.65,86,8,3.21,MN,1612648070
419,birao,10.2849,22.7882,290.72,27,20,3.22,CF,1612648415
420,oksfjord,70.2396,22.3479,270.93,93,40,8.23,NO,1612648415
421,belyy yar,53.6039,91.3903,261.15,85,77,2,RU,1612648415
422,renqiu,38.6989,116.0936,272.53,90,0,3.39,CN,1612648415
423,yar-sale,66.8333,70.8333,238.06,84,100,6.29,RU,1612647922
424,alofi,-19.0595,-169.9187,302.15,79,75,5.66,NU,1612648011
425,sola,-13.8833,167.55,301.15,94,40,1.22,VU,1612648415
426,kifri,34.6959,44.9661,286.69,79,100,4.76,IQ,1612648416
427,bytow,54.1706,17.4919,264.15,86,75,1.03,PL,1612648416
428,byron bay,-28.65,153.6167,297.59,78,40,0.51,AU,1612648204
429,ust-kamchatsk,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
430,altay,47.8667,88.1167,267,88,84,1.25,CN,1612648416
431,marawi,7.9986,124.2928,295.93,91,100,3.13,PH,1612648025
432,christchurch,-43.5333,172.6333,290.93,72,90,8.23,NZ,1612648154
433,asyut,27.181,31.1837,286.15,76,0,3.09,EG,1612648417
434,faya,18.3851,42.4509,283.15,87,0,1.54,SA,1612648417
435,lata,40.1629,-8.3327,284.26,81,49,1.34,PT,1612648001
436,bursa,40.1667,29.0833,278.15,93,0,0.97,TR,1612648330
437,swift current,50.2834,-107.8014,249.15,64,1,4.12,CA,1612648417
438,ijaki,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
439,sioux lookout,50.1001,-91.917,249.15,64,90,6.69,CA,1612648417
440,pospelikha,51.95,81.7667,273.34,92,26,7.34,RU,1612648417
441,bilibino,68.0546,166.4372,250.37,80,0,1.13,RU,1612647996
442,sept-iles,50.2001,-66.3821,272.15,93,100,2.57,CA,1612648205
443,qaqortoq,60.7167,-46.0333,265.28,81,1,2.31,GL,1612648267
444,port hedland,-20.3167,118.5667,297.15,88,0,3.09,AU,1612648181
445,morro bay,35.3658,-120.8499,296.15,27,1,4.63,US,1612648418
446,katangli,51.7102,143.2326,253.2,92,100,3.49,RU,1612648418
447,coihaique,-45.5752,-72.0662,298.15,29,20,2.57,CL,1612648418
448,madingou,-4.1536,13.55,297.1,92,68,0.98,CG,1612648419
449,alihe,50.5667,123.7167,247.15,84,50,1.44,CN,1612648419
450,champua,22.0833,85.6667,285.49,86,1,1.72,IN,1612648419
451,lavrentiya,65.5833,-171,251.1,79,0,1.64,RU,1612648045
452,srednekolymsk,67.45,153.6833,244.96,83,39,1.36,RU,1612648314
453,chokurdakh,70.6333,147.9167,242.26,87,32,2.26,RU,1612647999
454,mongo,12.1844,18.693,293.03,20,9,2.98,TD,1612647998
455,porto belo,-27.1578,-48.5531,298.15,69,0,5.14,BR,1612648419
456,belmonte,-15.8631,-38.8828,300.15,69,40,5.66,BR,1612648034
457,aklavik,68.2191,-135.0107,243.15,69,90,1.03,CA,1612648027
458,thongwa,16.7619,96.5278,297.15,83,20,2.06,MM,1612648141
459,napasar,27.9667,73.55,286.67,36,0,2.57,IN,1612648420
460,tucuman,-26.8241,-65.2226,305.15,43,0,3.09,AR,1612648420
461,uptar,59.75,150.9167,256.28,92,100,3.8,RU,1612648420
462,nampula,-15.1165,39.2666,297.15,94,75,1.03,MZ,1612648420
463,broome,42.2506,-75.833,272.15,29,1,7.72,US,1612647999
464,ascension,30.2169,-90.9001,286.15,88,90,2.57,US,1612648421
465,foam lake,51.65,-103.5343,244.15,63,53,2.57,CA,1612648421
466,jiwani,25.05,61.7417,293.13,49,0,1.21,PK,1612648421
467,bolshiye uki,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
468,chara,56.9064,118.2631,245.86,72,95,0.42,RU,1612648421
469,melilla,35.2937,-2.9383,287.15,72,0,2.06,ES,1612648421
470,itupiranga,-5.1347,-49.3267,303.15,62,20,1.54,BR,1612648421
471,dubrovnik,42.6481,18.0922,287.15,77,20,9.77,HR,1612648421
472,janauba,-15.8025,-43.3089,296.59,84,100,1.31,BR,1612648313
473,bathsheba,13.2167,-59.5167,301.15,57,20,8.75,BB,1612648071
474,manaus,-3.1019,-60.025,300.15,83,75,2.57,BR,1612648363
475,garissa,-0.4536,39.6401,299.29,65,0,4.95,KE,1612648422
476,yuncheng,35.0231,110.9928,278.51,56,54,0.96,CN,1612648422
477,mount gambier,-37.8333,140.7667,286.15,88,90,3.6,AU,1612648050
478,lerum,57.7745,12.2697,263.15,85,0,4.12,SE,1612648422
479,fjerritslev,57.0813,9.2664,269.15,68,75,5.66,DK,1612648422
480,kant,27.8,79.8,283.04,69,0,2.73,IN,1612648423
481,sovetskaya,44.7769,41.1722,273.24,98,100,1.41,RU,1612648423
482,yerbogachen,61.2767,108.0108,250.18,90,98,2.18,RU,1612648157
483,vilkaviskis,54.6517,23.0322,258.55,94,52,2.22,LT,1612648423
484,ulladulla,-35.35,150.4667,294.26,68,36,0.51,AU,1612648423
485,karatau,43.1667,70.4667,278.39,81,100,7.93,KZ,1612648423
486,ksenyevka,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
487,astaneh-ye ashrafiyeh,37.2596,49.9444,284.26,85,100,1.26,IR,1612648423
488,anaconda,46.1285,-112.9423,274.15,55,90,5.31,US,1612648424
489,vanimo,-2.6741,141.3028,298.03,88,100,1.99,PG,1612648026
490,priargunsk,50.3691,119.1012,244.23,83,0,0.56,RU,1612648424
491,walvis bay,-22.9575,14.5053,291.48,88,3,2.57,NA,1612648424
492,suwalki,54.1118,22.9309,257.59,94,6,1.94,PL,1612648424
493,kodinsk,58.6881,99.1844,263.15,95,100,2.47,RU,1612648008
494,arlit,18.7369,7.3853,293.1,21,1,3.38,NE,1612648424
495,saint-augustin,51.226,-58.6502,273.57,96,100,10.86,CA,1612648252
496,mys shmidta,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
497,karaul,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
498,korla,41.7597,86.1469,269.93,85,0,1.44,CN,1612648425
499,brainerd,46.358,-94.2008,252.15,49,40,5.14,US,1612648137
500,parrita,9.5201,-84.3225,301.15,47,20,2.06,CR,1612648425
501,nara,34.6851,135.8049,277.59,93,0,1.54,JP,1612648227
502,temaraia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
503,morehead,37.2711,-87.1764,281.15,46,90,2.06,US,1612648425
504,okhotsk,59.3833,143.3,253.92,86,34,6.51,RU,1612647996
505,nacala,-14.5428,40.6728,298.7,86,89,1.16,MZ,1612648425
506,kalmunai,7.4167,81.8167,297.81,88,50,3.82,LK,1612648043
507,rio das ostras,-22.5269,-41.945,295.15,100,90,1.54,BR,1612648426
508,kodinar,20.7903,70.7031,292.21,30,0,5.48,IN,1612648426
509,san isidro,-12.1167,-77.05,296.15,78,20,3.6,PE,1612648426
510,gordeyevka,52.9569,31.9703,253.48,92,30,3.56,RU,1612648426
511,jiayuguan,39.8167,98.3,269.58,70,39,0.8,CN,1612648011
512,sape,-7.0964,-35.2328,301.15,74,0,3.6,BR,1612648426
513,tsabong,-26.0217,22.401,295.57,73,0,8.45,BW,1612648427
514,kerouane,9.2667,-9.0167,297.87,22,89,0.6,GN,1612648427
515,san felipe,10.3399,-68.7425,296.9,75,93,3.4,VE,1612648136
516,kaitangata,-46.2817,169.8464,290.94,67,1,2,NZ,1612647992
517,kuching,1.55,110.3333,297.15,100,40,0.51,MY,1612648427
518,grindavik,63.8424,-22.4338,274.15,69,0,7.72,IS,1612648427
519,svetlyy,54.675,20.1347,256.15,85,0,1,RU,1612648427
520,khorinsk,52.1657,109.7726,253.46,89,100,0.8,RU,1612648427
521,angoche,-16.2325,39.9086,299.74,83,100,1.13,MZ,1612648182
522,yilan,24.757,121.753,288.71,99,0,1.43,TW,1612648428
523,salima,-13.7804,34.4587,296.77,76,96,1.74,MW,1612648428
524,coolum beach,-26.5333,153.1,300.93,76,1,0.45,AU,1612648428
525,bubaque,11.2833,-15.8333,300.4,55,53,7.74,GW,1612648025
526,louisbourg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
527,margate,51.3813,1.3862,278.15,89,100,1.79,GB,1612648428
528,handwara,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
529,apastovo,55.2029,48.5109,254.15,78,75,9,RU,1612648428
530,lakselv,70.0513,24.9718,269.15,80,90,10.29,NO,1612648429
531,hinton,53.4001,-117.5857,255.15,60,100,6.17,CA,1612648429
532,kuanshan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
533,barreirinhas,-2.7469,-42.8264,299.05,82,47,3.02,BR,1612648429
534,wanning,18.8003,110.3967,292.26,87,8,1.48,CN,1612648013
535,dunedin,-45.8742,170.5036,289.26,78,1,0.89,NZ,1612648048
536,rockport,28.0206,-97.0544,296.15,64,75,6.17,US,1612648429
537,qarqin,37.4185,66.0436,285.06,41,65,0.44,AF,1612648430
538,eldikan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
539,beloha,-25.1667,45.05,297.17,92,10,2.89,MG,1612648003
540,alice town,25.7167,-79.3,297.75,82,0,7.56,BS,1612648430
541,puerto maldonado,-12.6,-69.1833,300.81,85,63,0.94,PE,1612648430
542,agadir,30.4202,-9.5982,284.15,93,20,3.6,MA,1612648430
543,springbok,-29.6643,17.8865,289.84,68,0,2.57,ZA,1612648163
544,boddam,57.4667,-1.7833,275.15,64,90,6.17,GB,1612648430
545,nantucket,41.2835,-70.0995,278.15,60,1,8.75,US,1612648430
546,valkeala,60.9401,26.7979,260.15,85,20,3.09,FI,1612648431
547,baijiantan,45.6333,85.1833,263.82,93,0,0.79,CN,1612648431
548,placido de castro,-10.3353,-67.1856,300.84,75,75,0.76,BR,1612648431
549,elk city,35.412,-99.4043,284.15,53,1,9.26,US,1612648431
550,kachug,53.9606,105.8817,257.65,92,100,1.11,RU,1612648431
551,kruisfontein,-34.0033,24.7314,293.71,79,2,0.89,ZA,1612647989
552,piney green,34.716,-77.3202,283.15,46,90,3.6,US,1612648431
553,miracema do tocantins,-9.5618,-48.3967,297.21,92,99,1.26,BR,1612648431
554,suntar,62.1444,117.6319,244.25,88,99,1.17,RU,1612648432
555,oyama,36.3,139.8,280.93,80,20,0.51,JP,1612648432
556,lerwick,60.1545,-1.1494,274.15,60,90,7.72,GB,1612648037
557,flin flon,54.7682,-101.865,243.15,57,40,5.66,CA,1612647907
558,labrea,-7.2586,-64.7981,298.65,94,100,0.55,BR,1612648432
559,jedovnice,49.3445,16.756,272.59,83,100,0.45,CZ,1612648432
560,eastbourne,50.7687,0.2845,279.26,92,100,1.34,GB,1612648243
561,rorvik,64.8621,11.2373,268.5,93,64,3.93,NO,1612648432
562,warrnambool,-38.3833,142.4833,286.48,95,84,6.37,AU,1612648432
563,leua,48.2156,18.6071,279.26,92,100,4.02,SK,1612648433
564,pozo colorado,-23.4923,-58.7972,300.26,49,0,2.98,PY,1612648433
565,kloulklubed,7.0419,134.2556,298.15,100,90,3.6,PW,1612648433
566,saint-pierre,-21.3393,55.4781,299.15,78,0,2.57,RE,1612648433
567,kadykchan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
568,portland,45.5234,-122.6762,281.15,81,90,8.23,US,1612647830
569,diamantino,-14.4086,-56.4461,300.02,76,51,1.68,BR,1612648018
570,northview,43.0456,-85.6006,265.37,79,90,6.17,US,1612648434
571,sinkat,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
572,ewo,-0.8725,14.8206,297.55,80,96,3.02,CG,1612648434
573,palana,59.1167,159.9667,263.35,91,100,14.49,RU,1612648026
574,andenes,69.3143,16.1194,273.15,80,100,14.92,NO,1612648061
575,camana,-16.6228,-72.7111,295.84,73,100,2.08,PE,1612648434
576,tuatapere,-46.1333,167.6833,292.79,56,0,0.83,NZ,1612648039
577,bom jesus da lapa,-13.255,-43.4181,296.55,88,96,2.51,BR,1612648434
578,stornoway,58.2093,-6.3865,276.15,70,40,9.26,GB,1612648041
579,vyazemskiy,47.5378,134.7525,248.79,89,100,1.67,RU,1612648435
580,oranjestad,12.524,-70.027,301.15,65,20,11.32,AW,1612648278
581,garhi yasin,27.9069,68.511,286.15,71,0,0.78,PK,1612648435
582,chumikan,54.7183,135.315,249.53,83,100,6.2,RU,1612648435
583,husavik,66.0449,-17.3389,273.15,69,90,1.03,IS,1612648057
584,luancheng,37.8792,114.6517,272.15,64,0,2,CN,1612648435
585,dudinka,69.4058,86.1778,237.18,81,0,4.29,RU,1612648435
586,makhinjauri,41.6739,41.694,285.15,66,75,9.26,GE,1612648435
587,palmer,42.1584,-72.3287,278.15,33,20,10.29,US,1612648436
588,severomuysk,56.1481,113.4267,243.78,88,86,0.79,RU,1612648436
589,palaikastron,35.2,26.25,286.48,87,0,1.68,GR,1612648436
590,masjid tanah,2.3455,102.1107,297.15,88,20,3.09,MY,1612648436
591,brae,60.3964,-1.353,274.15,60,90,7.72,GB,1612648046
592,orange cove,36.6244,-119.3137,291.15,48,1,2.06,US,1612648069
593,wuwei,37.9281,102.6414,270.01,71,27,1.28,CN,1612648436
594,puerto el triunfo,13.2833,-88.55,308.15,41,20,2.57,SV,1612648436
595,acapulco,16.8634,-99.8901,302.15,65,20,4.12,MX,1612647980
596,villazon,-22.0866,-65.5942,289.14,55,75,7.12,BO,1612648437
597,tabou,4.423,-7.3528,299.32,90,14,3.68,CI,1612648040
598,maraa,-1.8333,-65.3667,300.23,87,78,0.22,BR,1612648313
599,kuito,-12.3833,16.9333,289.39,93,100,3.5,AO,1612648437
600,linhares,-19.3911,-40.0722,298.56,74,100,2.18,BR,1612648437
601,kamenka,51.3223,42.7678,260.93,82,99,5.35,RU,1612648040
602,burnie,-41.0667,145.9167,292.04,85,32,2.24,AU,1612648437
603,grafenhainichen,51.7333,12.45,272.04,76,100,1.34,DE,1612648437
604,pavia,45.1845,9.1615,282.04,89,100,1.34,IT,1612648438
605,cockburn town,21.4612,-71.1419,300.15,65,20,7.2,TC,1612648438
606,leh,34.1667,77.5833,258.23,51,0,0.8,IN,1612648438
607,antsla,57.8256,26.5406,260.15,85,20,2.06,EE,1612648438
608,hokitika,-42.7167,170.9667,291.19,73,4,1.53,NZ,1612648015
609,tranas,58.0372,14.9782,262.15,92,20,1.54,SE,1612648438
610,solovetskiy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
